publication_key,year,type,index_class,title_short,venue,doi,cited_by_count,impact_factor,n_dare_authors,faculty_names,faculty_last_names,research_areas,cross_area_publication,internal_collaboration,student_coauthored,added_from_coauthor_any,journal_article_countable,verified_peer_reviewed,in_reporting_window,edge_2026
doi:10.1016/j.rama.2026.05.006,2026,JA,a,Nutrient Runoff From North American Grasslands,Rangeland Ecology & Management,10.1016/j.rama.2026.05.006,0,2.9,1,John Ritten,Ritten,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1
doi:10.1002/aepp.70039,2026,JA,a,Quantitative Comparison of Ad-Valorem Equivalents for Non-Tariff Trade Measures: WTO Versus TRAINS,Applied Economic Perspectives and Policy,10.1002/aepp.70039,0,3.6,1,Amanda Countryman,Countryman,Ag and Food,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,1
doi:10.1002/jaa2.70044,2026,JA,a,Regionalizing the food dollar,Journal of the Agricultural and Applied Economics Association,10.1002/jaa2.70044,0,1.8,1,Dawn Thilmany,Thilmany,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1
doi:10.1038/s41586-026-10251-x,2026,JA,a,Reproducibility and robustness of economics and political science research,Nature,10.1038/s41586-026-10251-x,7,56.1,1,Matt Woerman,Woerman,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1
doi:10.1111/jrh.70112,2026,JA,b,Rural emergency hospitals: Emerging patterns of adaptation and community perception,The Journal of Rural Health,10.1111/jrh.70112,0,NA,1,Anders Van Sandt,Van Sandt,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1
doi:10.1111/gcb.70909,2026,JA,a,Soil Organic Carbon Improves Crop Yield and Yield Resilience,Global Change Biology,10.1111/gcb.70909,0,12.5,1,Jesse Burkhardt,Burkhardt,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1
titleyear:stochastic risk and economic analyses of hydroponic systems |2026,2026,JA,b,Stochastic Risk and Economic Analyses of Hydroponic Systems for Vegetable Production under Arid Lands Conditions,J. Agricultural and Environmental Information Systems,NA,NA,NA,1,Dana Hoag,Hoag,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1
doi:10.1002/ajae.70083,2026,JA,a,The role of venture-financed startups in innovation for US agriculture,American Journal of Agricultural Economics,10.1002/ajae.70083,0,4.9,1,Gregory Graff,Graff,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1
doi:10.1111/cobi.70326,2026,JA,a,Toward Coexistence: A Psychometric Framework for Large Carnivore Conservation.,Conservation Biology,10.1111/cobi.70326,1,5.2,1,Dana Hoag,Hoag,ENRE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1
doi:10.1016/j.rama.2026.03.004,2026,JA,a,Unravelling the Influence of Adaptive Grazing Management with Multiple Paddocks on Cattle Production in Semiarid Rangeland,Rangeland Ecology & Management,10.1016/j.rama.2026.03.004,0,2.9,1,John Ritten,Ritten,Ag and Food,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1
